id,name,city,state,description,latitude,longitude,image_path,rating
1,Rani ki Vav,Patan,Gujarat,UNESCO heritage stepwell with intricate sculptures dedicated to water architecture,23.85892,72.10162,place_images/Rani_ki_Vav.jpg,4.7
2,Sun Temple,Modhera,Gujarat,"11th-century temple dedicated to the Sun God, a masterpiece of Solanki architecture",23.5835,72.133,place_images/Sun_Temple.jpg,4.7
3,Laxmi Vilas Palace,Vadodara,Gujarat,"Lavish palace of the Gaekwad dynasty, larger than Buckingham Palace",22.3072,73.1812,place_images/Laxmi_Vilas_Palace.jpg,4.4
4,Champaner-Pavagadh Archaeological Park,Champaner,Gujarat,UNESCO World Heritage Site blending Hindu-Muslim architecture with forts and mosques,22.4914,73.5792,place_images/Champaner-Pavagadh_Archaeological_Park.jpg,4.4
5,Dholavira ,Dholavira (Kutch),Gujarat,"Ancient city of the Indus Valley Civilization, now a UNESCO World Heritage Site",23.8493,69.6492,place_images/Dholavira_.jpg,4.5
6,Uparkot Fort,Junagadh,Gujarat,Ancient fort in Junagadh with Buddhist caves and stepwells,21.5139,70.4581,place_images/Uparkot_Fort.jpg,4.3
7,Mahabat Maqbara,Junagadh,Gujarat,19th-century Islamic mausoleum known for its fusion of Gothic and Indo-Islamic styles,21.5142,70.4592,place_images/Mahabat_Maqbara.jpg,4.4
8,Vijay Vilas Palace,Mandvi,Gujarat,Royal summer palace with sea views and Bollywood shooting location,22.8187,69.2668,place_images/Vijay_Vilas_Palace.jpg,4.3
9,Aina Mahal & Prag Mahal,Bhuj,Gujarat,"Historical palaces showcasing Kutchi art, mirrorwork, and colonial influence",23.2447,69.6662,place_images/Aina_Mahal_&_Prag_Mahal.jpg,4.2
10,Adalaj Stepwell,Adalaj (near Ahmedabad),Gujarat,Architectural marvel of stepwell engineering with intricate carvings,23.0876,72.5143,place_images/Adalaj_Stepwell.jpg,4.5
11,Gir National Park,Sasan Gir (Junagadh),Gujarat,Only natural habitat of the Asiatic lions in the world,21.1833,70.7925,place_images/Gir_National_Park.jpg,4.7
12,Blackbuck National Park,Velavadar (Bhavnagar),Gujarat,Protected park with large populations of blackbucks and migratory birds,21.6424,72.703,place_images/Blackbuck_National_Park.jpg,4.7
13,Wild Ass Sanctuary ,Dhrangadhra (Surendranagar),Gujarat,Unique salt desert sanctuary home to Indian wild asses,22.6167,71.47,place_images/Wild_Ass_Sanctuary_.jpg,4.4
14,Nalsarovar Bird Sanctuary,Nalsarovar (Ahmedabad),Gujarat,Wetland sanctuary popular for birdwatching and boating,22.8536,72.425,place_images/Nalsarovar_Bird_Sanctuary.jpg,4.2
15,Saputara Hill Station,Saputara (Dang),Gujarat,Gujarat’s only hill station with lush forests and cool climate,20.7771,73.7653,place_images/Saputara_Hill_Station.jpg,4.5
16,Polo Forest,Abhapur (Sabarkantha),Gujarat,"Dense forest with ancient Jain and Hindu ruins, ideal for trekking",23.1938,73.0283,place_images/Polo_Forest.jpg,4.5
17,Zarwani Waterfall,Kevadia (Narmada),Gujarat,Beautiful waterfall inside Shoolpaneshwar Wildlife Sanctuary,21.8817,73.6254,place_images/Zarwani_Waterfall.jpg,4.4
